name,rollno,email,phone
Juanita Johns III,R-001,Avis_Purdy@yahoo.com,35433213
Mathew Weissnat,R-002,Willard_Ernser15@gmail.com,35433213
Miguel Ondricka Jr.,R-003,Elisa22@gmail.com,35433213
Sandy Witting III,R-004,Isai.Nikolaus98@yahoo.com,35433213
Miss Patty Wilkinson,R-005,Dillon67@gmail.com,35433213
Wade Hintz,R-006,Vicenta_Koepp@yahoo.com,35433213
Kate Koss,R-007,Oran_Kuphal60@yahoo.com,35433213
Wanda Connelly,R-008,Elian_Reynolds43@yahoo.com,35433213
Lula Becker,R-009,Janie92@hotmail.com,35433213
Dr. Duane Schneider,R-010,Oswald83@yahoo.com,35433213
Mr. Bert Nienow,R-011,Earnest.Rice@yahoo.com,35433213
Ashley Jerde,R-012,Dino96@hotmail.com,35433213
Julius Zieme,R-013,Herta_Okuneva75@yahoo.com,35433213
Alicia Moore PhD,R-014,Sophia65@gmail.com,35433213
Freddie Luettgen,R-015,Lula55@gmail.com,35433213
Dr. Laverne Wisozk,R-016,Shemar54@hotmail.com,35433213
Miss Sue Rogahn-Kuphal V,R-017,Demetrius_Keeling@hotmail.com,35433213
Joe Boehm,R-018,Oceane.Heidenreich@gmail.com,35433213
Herman Bednar,R-019,Claudia66@yahoo.com,35433213
Dr. Mathew Predovic,R-020,Samson.Kulas@yahoo.com,35433213
Max O'Connell,R-021,Foster.Paucek@yahoo.com,35433213
Estelle Schulist,R-022,Valentina_Hagenes65@hotmail.com,35433213
Lynn Towne,R-023,Lauretta15@hotmail.com,35433213
Ernestine Langosh-Schoen,R-024,Isaiah21@gmail.com,35433213
Mrs. Kari Kutch I,R-025,Dudley.Prosacco@gmail.com,35433213
Ms. Michelle Reichert,R-026,Roslyn98@gmail.com,35433213
Pearl Sipes,R-027,Katherine.Turcotte@hotmail.com,35433213
Sandra Aufderhar,R-028,Keyon.Cronin@hotmail.com,35433213
Earnest Vandervort,R-029,Dereck_Schoen@hotmail.com,35433213
Carlos Ruecker,R-030,Ruthie_Gottlieb37@hotmail.com,35433213
Philip Gutkowski,R-031,Eliza.Crona35@hotmail.com,35433213
Marsha Ritchie,R-032,Amy6@gmail.com,35433213
Delbert Stehr,R-033,Edythe.Parisian85@hotmail.com,35433213
Willie Johnston,R-034,Damien_Runolfsdottir@gmail.com,35433213
Dr. Saul Reichel-Wuckert,R-035,Wilmer_Romaguera73@yahoo.com,35433213
Juan Dach,R-036,Elyse.Green@yahoo.com,35433213
Dr. Benjamin Brown,R-037,Jarrell74@hotmail.com,35433213
Ebony Nienow,R-038,Veda76@gmail.com,35433213
Bonnie Lubowitz I,R-039,Trinity71@gmail.com,35433213
Arturo Lindgren,R-040,Lisa23@hotmail.com,35433213
Janis Tillman,R-041,Adriel_Kassulke@yahoo.com,35433213
Earl Hilpert,R-042,Gerhard_Abshire63@gmail.com,35433213
Mr. Lester Nienow,R-043,Trenton40@yahoo.com,35433213
Dr. Malcolm Hamill,R-044,Raphael_Kassulke-Ortiz59@gmail.com,35433213
Rolando Ritchie,R-045,Una_Wiegand1@gmail.com,35433213
Anna Vandervort,R-046,Myrl.Romaguera37@hotmail.com,35433213
Harry Beahan,R-047,Jillian64@gmail.com,35433213
Barry Lynch-Kuvalis,R-048,Santino33@hotmail.com,35433213
Vickie Conn,R-049,Lilly.Hilll-Windler33@hotmail.com,35433213
Rochelle Trantow,R-050,Josh_Krajcik18@yahoo.com,35433213
Jim Watsica,R-051,Jazmyn58@hotmail.com,35433213
Randy Kunde DDS,R-052,Katherine_Tromp@gmail.com,35433213
Lora Runolfsdottir V,R-053,Uriah.Streich@yahoo.com,35433213
Andrea O'Connell,R-054,Evan.Abernathy@yahoo.com,35433213
Ada Mitchell,R-055,Brandi_Ferry@gmail.com,35433213
Samantha Nolan,R-056,Reece_Kautzer@yahoo.com,35433213
Leon Nienow,R-057,Abdul_Berge@gmail.com,35433213
Nora Doyle,R-058,Lurline71@gmail.com,35433213
Timmy Adams,R-059,Carol77@yahoo.com,35433213
Pearl Funk,R-060,Pearl.Wunsch83@gmail.com,35433213
Dexter Denesik,R-061,Fidel.Paucek@yahoo.com,35433213
Malcolm Dare Sr.,R-062,Rebeca.Feeney@gmail.com,35433213
Candice Hickle,R-063,Marilyne36@hotmail.com,35433213
Angel Collins,R-064,Megane_Champlin39@hotmail.com,35433213
Alvin Schuppe III,R-065,Sheila83@gmail.com,35433213
Angel Bartoletti,R-066,Camron_Schmeler22@yahoo.com,35433213
Jared Harris,R-067,Aletha.Larson@yahoo.com,35433213
Beth Schulist,R-068,Tyrel_Torphy74@gmail.com,35433213
Dolores Cormier,R-069,Rupert_Bosco59@yahoo.com,35433213
Irma Stracke,R-070,Rhett71@hotmail.com,35433213
Genevieve Kemmer V,R-071,Clara.Bosco17@hotmail.com,35433213
Josh Johnston,R-072,Madonna26@gmail.com,35433213
Mable Lang,R-073,Euna.Pfannerstill@hotmail.com,35433213
Freda Koss Jr.,R-074,Gunnar_Funk@gmail.com,35433213
Jacquelyn Rath,R-075,Dominic98@yahoo.com,35433213
Jordan Cole-Murazik,R-076,Wanda.Kuhlman@gmail.com,35433213
Marlene Boehm,R-077,Karl.Leannon18@hotmail.com,35433213
Gretchen Bosco-Nitzsche,R-078,Mayra_Halvorson-Lindgren30@yahoo.com,35433213
Donnie Kreiger,R-079,Catherine81@hotmail.com,35433213
Marian Torphy,R-080,Robert34@yahoo.com,35433213
Guadalupe Kuhlman,R-081,Fay.Moore77@yahoo.com,35433213
Stephen Shanahan,R-082,Nicola.Ratke77@yahoo.com,35433213
Alison Breitenberg,R-083,Florence.Trantow@yahoo.com,35433213
Travis Yost,R-084,Pinkie_Hansen@gmail.com,35433213
Russell Fahey,R-085,Jessyca.Luettgen82@gmail.com,35433213
Margarita Miller,R-086,Rodrigo53@hotmail.com,35433213
Olive Romaguera,R-087,Carmela75@yahoo.com,35433213
Lola Feest,R-088,Norwood.Hauck@hotmail.com,35433213
Ramona Graham,R-089,Tierra21@yahoo.com,35433213
Percy Rogahn,R-090,Ezra27@hotmail.com,35433213
Dianna Grimes DVM,R-091,Marcellus.Huels86@gmail.com,35433213
Elvira Bartell,R-092,Lyric_Hettinger@hotmail.com,35433213
Jim Torphy III,R-093,Nash57@gmail.com,35433213
Wayne Lesch Sr.,R-094,Henri_Collier@yahoo.com,35433213
Mr. Rafael Gleason DVM,R-095,Kamille18@gmail.com,35433213
Lucia Sipes,R-096,Sydnie_Hansen37@yahoo.com,35433213
Clark Dicki,R-097,Lillie4@hotmail.com,35433213
Benny Pouros,R-098,Burley.Bogan@gmail.com,35433213
Jeanne Keebler,R-099,Rahul84@yahoo.com,35433213
Van Mueller,R-100,Gayle_Walter70@hotmail.com,35433213
